  Nz=Nparall      Px    
 -2.6449E+01  5.4138E-05
 -2.6438E+01  4.6044E-05
 -2.6426E+01  3.8421E-05
 -2.6414E+01  3.1770E-05
 -2.6402E+01  2.6719E-05
 -2.6390E+01  2.3928E-05
 -2.6378E+01  2.3844E-05
 -2.6366E+01  2.6418E-05
 -2.6354E+01  3.0939E-05
 -2.6342E+01  3.6111E-05
 -2.6330E+01  4.0394E-05
 -2.6318E+01  4.2491E-05
 -2.6307E+01  4.1807E-05
 -2.6295E+01  3.8657E-05
 -2.6283E+01  3.4131E-05
 -2.6271E+01  2.9656E-05
 -2.6259E+01  2.6423E-05
 -2.6247E+01  2.4924E-05
 -2.6235E+01  2.4802E-05
 -2.6223E+01  2.5068E-05
 -2.6211E+01  2.4602E-05
 -2.6199E+01  2.2693E-05
 -2.6187E+01  1.9387E-05
 -2.6176E+01  1.5477E-05
 -2.6164E+01  1.2142E-05
 -2.6152E+01  1.0410E-05
 -2.6140E+01  1.0685E-05
 -2.6128E+01  1.2555E-05
 -2.6116E+01  1.4980E-05
 -2.6104E+01  1.6747E-05
 -2.6092E+01  1.7009E-05
 -2.6080E+01  1.5637E-05
 -2.6068E+01  1.3252E-05
 -2.6056E+01  1.0907E-05
 -2.6045E+01  9.5928E-06
 -2.6033E+01  9.7897E-06
 -2.6021E+01  1.1264E-05
 -2.6009E+01  1.3205E-05
 -2.5997E+01  1.4610E-05
 -2.5985E+01  1.4744E-05
 -2.5973E+01  1.3450E-05
 -2.5961E+01  1.1182E-05
 -2.5949E+01  8.7615E-06
 -2.5937E+01  6.9937E-06
 -2.5925E+01  6.3191E-06
 -2.5914E+01  6.6702E-06
 -2.5902E+01  7.5766E-06
 -2.5890E+01  8.4433E-06
 -2.5878E+01  8.8493E-06
 -2.5866E+01  8.7164E-06
 -2.5854E+01  8.2771E-06
 -2.5842E+01  7.8841E-06
 -2.5830E+01  7.7832E-06
 -2.5818E+01  7.9843E-06
 -2.5806E+01  8.3055E-06
